threshold,coverage,review_rate,selective_accuracy,risk
0.3,0.834320987654321,0.165679012345679,0.8893163657886949,0.11068363421130512
0.31,0.8338271604938272,0.16617283950617284,0.889546935149541,0.11045306485045903
0.32,0.8335802469135802,0.16641975308641976,0.8895142180094787,0.11048578199052128
0.32999999999999996,0.8333333333333334,0.16666666666666666,0.8897777777777778,0.11022222222222222
0.33999999999999997,0.831604938271605,0.16839506172839505,0.8913301662707839,0.10866983372921613
0.35,0.8303703703703704,0.16962962962962963,0.8923580136782635,0.1076419863217365
0.36,0.8296296296296296,0.17037037037037037,0.8928571428571429,0.1071428571428571
0.37,0.828395061728395,0.17160493827160495,0.8932935916542474,0.10670640834575262
0.38,0.8266666666666667,0.17333333333333334,0.8948626045400239,0.10513739545997614
0.38999999999999996,0.8254320987654321,0.1745679012345679,0.8956027520191445,0.10439724798085548
0.39999999999999997,0.8232098765432099,0.17679012345679013,0.8974205158968206,0.10257948410317941
0.41,0.8207407407407408,0.17925925925925926,0.8989169675090253,0.10108303249097472
0.42,0.8182716049382716,0.1817283950617284,0.9004224502112251,0.09957754978877487
0.42999999999999994,0.8160493827160494,0.18395061728395062,0.9013615733736763,0.09863842662632372
0.43999999999999995,0.8140740740740741,0.18592592592592594,0.9029420685471641,0.09705793145283592
0.44999999999999996,0.8106172839506173,0.18938271604938273,0.9049649710630521,0.09503502893694793
0.45999999999999996,0.808395061728395,0.19160493827160494,0.905620036652413,0.09437996334758703
0.47,0.8061728395061728,0.19382716049382717,0.9068912710566616,0.09310872894333844
0.48,0.8014814814814815,0.1985185185185185,0.9091189155884165,0.09088108441158349
0.49,0.7967901234567901,0.20320987654320988,0.910133250697242,0.08986674930275795
0.49999999999999994,0.7906172839506173,0.20938271604938272,0.9131792629606496,0.08682073703935045
0.51,0.7851851851851852,0.21481481481481482,0.9160377358490566,0.08396226415094343
0.52,0.7812345679012346,0.21876543209876542,0.9178255372945638,0.08217446270543616
0.5299999999999999,0.7762962962962963,0.2237037037037037,0.9208015267175572,0.07919847328244278
0.5399999999999999,0.7728395061728395,0.2271604938271605,0.9223642172523961,0.07763578274760385
